0
1,69
2,6
3,26
4,61
5,37
6,58
7,61
8,55
9,82
10,62
11,43
12,53
13,71
14,48
15,5
16,59
17,92
18,1
19,2
20,73
21,30
22,89
23,13
24,16
25,16
26,59
27,7
28,4
29,92
30,84
31,69
32,88
33,73
34,86
35,48
36,43
37,38
38,0
39,86
40,66
41,94
42,81
43,46
44,46
45,79
46,37
47,81
48,71
49,13
50,3
51,9
52,3
53,84
54,25
55,6
56,30
57,88
58,31
59,38
60,89
61,87
62,74
63,24
64,80
65,31
66,25
67,53
68,15
69,0
70,87
71,65
72,44
73,74
74,18
75,2
76,9
77,80
78,79
79,70
80,99
81,82
82,65
83,62
84,58
85,4
86,24
87,1
88,70
89,5
90,63
91,94
92,26
93,63
94,99
95,15
96,7
97,44
98,55
99,18
